"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked.S","Embarked.C"
59,1,-0.369,-1.355,-1.7,0.433,2.008,-0.09,0.619,-0.482
60,0,0.827,0.737,-1.287,4.06,2.008,0.296,0.619,-0.482
61,0,0.827,0.737,-0.53,-0.474,-0.473,-0.503,-1.614,2.073
62,1,-1.565,-1.355,0.571,-0.474,-0.473,0.962,-1.614,-0.482
63,0,-1.565,0.737,1.053,0.433,-0.473,1.032,0.619,-0.482
64,0,0.827,0.737,-1.769,2.246,2.008,-0.087,0.619,-0.482
67,1,-0.369,-1.355,-0.048,-0.474,-0.473,-0.437,0.619,-0.482
68,0,0.827,0.737,-0.737,-0.474,-0.473,-0.484,0.619,-0.482
69,1,0.827,-1.355,-0.874,3.153,2.008,-0.489,0.619,-0.482
70,0,0.827,0.737,-0.255,1.339,-0.473,-0.474,0.619,-0.482
71,0,-0.369,0.737,0.158,-0.474,-0.473,-0.437,0.619,-0.482
72,0,0.827,-1.355,-0.943,4.06,2.008,0.296,0.619,-0.482
73,0,-0.369,0.737,-0.599,-0.474,-0.473,0.831,0.619,-0.482
74,0,0.827,0.737,-0.255,0.433,-0.473,-0.357,-1.614,2.073
75,1,0.827,0.737,0.158,-0.474,-0.473,0.489,0.619,-0.482
76,0,0.827,0.737,-0.323,-0.474,-0.473,-0.494,0.619,-0.482
79,1,-0.369,0.737,-1.987,-0.474,2.008,-0.064,0.619,-0.482
80,1,0.827,-1.355,0.021,-0.474,-0.473,-0.397,0.619,-0.482
81,0,0.827,0.737,-0.53,-0.474,-0.473,-0.467,0.619,-0.482
82,1,0.827,0.737,-0.048,-0.474,-0.473,-0.457,0.619,-0.482
84,0,-1.565,0.737,-0.117,-0.474,-0.473,0.3,0.619,-0.482
85,1,-0.369,-1.355,-0.874,-0.474,-0.473,-0.437,0.619,-0.482
86,1,0.827,-1.355,0.227,2.246,-0.473,-0.329,0.619,-0.482
87,0,0.827,0.737,-0.943,0.433,3.248,0.044,0.619,-0.482
89,1,-1.565,-1.355,-0.461,2.246,2.008,4.644,0.619,-0.482
90,0,0.827,0.737,-0.392,-0.474,-0.473,-0.486,0.619,-0.482
91,0,0.827,0.737,-0.048,-0.474,-0.473,-0.486,0.619,-0.482
92,0,0.827,0.737,-0.668,-0.474,-0.473,-0.49,0.619,-0.482
93,0,-1.565,0.737,1.122,0.433,-0.473,0.583,0.619,-0.482
94,0,0.827,0.737,-0.255,0.433,2.008,-0.234,0.619,-0.482
95,0,0.827,0.737,2.017,-0.474,-0.473,-0.502,0.619,-0.482
97,0,-1.565,0.737,2.843,-0.474,-0.473,0.049,-1.614,2.073
98,1,-1.565,0.737,-0.461,-0.474,0.767,0.627,-1.614,2.073
99,1,-0.369,-1.355,0.296,-0.474,0.767,-0.185,0.619,-0.482
100,0,-0.369,0.737,0.296,0.433,-0.473,-0.125,0.619,-0.482
101,0,0.827,-1.355,-0.117,-0.474,-0.473,-0.489,0.619,-0.482
103,0,-1.565,0.737,-0.599,-0.474,0.767,0.907,0.619,-0.482
104,0,0.827,0.737,0.227,-0.474,-0.473,-0.474,0.619,-0.482
105,0,0.827,0.737,0.503,1.339,-0.473,-0.489,0.619,-0.482
106,0,0.827,0.737,-0.117,-0.474,-0.473,-0.489,0.619,-0.482
107,1,0.827,-1.355,-0.599,-0.474,-0.473,-0.494,0.619,-0.482
109,0,0.827,0.737,0.571,-0.474,-0.473,-0.489,0.619,-0.482
111,0,-1.565,0.737,1.191,-0.474,-0.473,0.398,0.619,-0.482
112,0,0.827,-1.355,-1.046,0.433,-0.473,-0.357,-1.614,2.073
113,0,0.827,0.737,-0.53,-0.474,-0.473,-0.486,0.619,-0.482
114,0,0.827,-1.355,-0.668,0.433,-0.473,-0.45,0.619,-0.482
115,0,0.827,-1.355,-0.874,-0.474,-0.473,-0.357,-1.614,2.073
116,0,0.827,0.737,-0.599,-0.474,-0.473,-0.489,0.619,-0.482
117,0,0.827,0.737,2.809,-0.474,-0.473,-0.492,-1.614,-0.482
118,0,-0.369,0.737,-0.048,0.433,-0.473,-0.225,0.619,-0.482
119,0,-1.565,0.737,-0.392,-0.474,0.767,4.333,-1.614,2.073
120,0,0.827,-1.355,-1.907,3.153,2.008,-0.019,0.619,-0.482
121,0,-0.369,0.737,-0.599,1.339,-0.473,0.831,0.619,-0.482
123,0,-0.369,0.737,0.193,0.433,-0.473,-0.043,-1.614,2.073
124,1,-0.369,-1.355,0.193,-0.474,-0.473,-0.386,0.619,-0.482
125,0,-1.565,0.737,1.673,-0.474,0.767,0.907,0.619,-0.482
126,1,0.827,0.737,-1.218,0.433,-0.473,-0.422,-1.614,2.073
128,1,0.827,0.737,-0.392,-0.474,-0.473,-0.504,0.619,-0.482
130,0,0.827,0.737,1.053,-0.474,-0.473,-0.508,0.619,-0.482
131,0,0.827,0.737,0.227,-0.474,-0.473,-0.489,-1.614,2.073
132,0,0.827,0.737,-0.668,-0.474,-0.473,-0.506,0.619,-0.482
133,0,0.827,-1.355,1.191,0.433,-0.473,-0.356,0.619,-0.482
134,1,-0.369,-1.355,-0.048,0.433,-0.473,-0.125,0.619,-0.482
135,0,-0.369,0.737,-0.323,-0.474,-0.473,-0.386,0.619,-0.482
136,0,-0.369,0.737,-0.461,-0.474,-0.473,-0.345,-1.614,2.073
137,1,-1.565,-1.355,-0.737,-0.474,2.008,-0.119,0.619,-0.482
138,0,-1.565,0.737,0.503,0.433,-0.473,0.42,0.619,-0.482
139,0,0.827,0.737,-0.943,-0.474,-0.473,-0.463,0.619,-0.482
140,0,-1.565,0.737,-0.392,-0.474,-0.473,0.946,-1.614,2.073
142,1,0.827,-1.355,-0.53,-0.474,-0.473,-0.492,0.619,-0.482
143,1,0.827,-1.355,-0.392,0.433,-0.473,-0.329,0.619,-0.482
144,0,0.827,0.737,-0.737,-0.474,-0.473,-0.512,-1.614,-0.482
145,0,-0.369,0.737,-0.805,-0.474,-0.473,-0.417,0.619,-0.482
146,0,-0.369,0.737,-0.737,0.433,0.767,0.091,0.619,-0.482
147,1,0.827,0.737,-0.186,-0.474,-0.473,-0.491,0.619,-0.482
148,0,0.827,-1.355,-1.425,1.339,2.008,0.044,0.619,-0.482
149,0,-0.369,0.737,0.468,-0.474,2.008,-0.125,0.619,-0.482
150,0,-0.369,0.737,0.847,-0.474,-0.473,-0.386,0.619,-0.482
151,0,-0.369,0.737,1.466,-0.474,-0.473,-0.396,0.619,-0.482
152,1,-1.565,-1.355,-0.53,0.433,-0.473,0.692,0.619,-0.482
153,0,0.827,0.737,1.776,-0.474,-0.473,-0.486,0.619,-0.482
154,0,0.827,0.737,0.744,-0.474,2.008,-0.356,0.619,-0.482
156,0,-1.565,0.737,1.466,-0.474,0.767,0.587,-1.614,2.073
157,1,0.827,-1.355,-0.943,-0.474,-0.473,-0.492,-1.614,-0.482
158,0,0.827,0.737,0.021,-0.474,-0.473,-0.486,0.619,-0.482
161,0,0.827,0.737,0.984,-0.474,0.767,-0.324,0.619,-0.482
162,1,-0.369,-1.355,0.709,-0.474,-0.473,-0.331,0.619,-0.482
163,0,0.827,0.737,-0.255,-0.474,-0.473,-0.492,0.619,-0.482
164,0,0.827,0.737,-0.874,-0.474,-0.473,-0.474,0.619,-0.482
165,0,0.827,0.737,-1.976,3.153,0.767,0.151,0.619,-0.482
166,1,0.827,0.737,-1.425,-0.474,2.008,-0.235,0.619,-0.482
168,0,0.827,-1.355,1.053,0.433,4.489,-0.087,0.619,-0.482
170,0,0.827,0.737,-0.117,-0.474,-0.473,0.489,0.619,-0.482
171,0,-1.565,0.737,2.155,-0.474,-0.473,0.026,0.619,-0.482
172,0,0.827,0.737,-1.769,3.153,0.767,-0.062,-1.614,-0.482
173,1,0.827,-1.355,-1.976,0.433,0.767,-0.424,0.619,-0.482
174,0,0.827,0.737,-0.599,-0.474,-0.473,-0.489,0.619,-0.482
175,0,-1.565,0.737,1.811,-0.474,-0.473,-0.03,-1.614,2.073
176,0,0.827,0.737,-0.805,0.433,0.767,-0.49,0.619,-0.482
178,0,-1.565,-1.355,1.398,-0.474,-0.473,-0.07,-1.614,2.073
179,0,-0.369,0.737,0.021,-0.474,-0.473,-0.386,0.619,-0.482
180,0,0.827,0.737,0.434,-0.474,-0.473,-0.648,0.619,-0.482
183,0,0.827,0.737,-1.425,3.153,2.008,-0.016,0.619,-0.482
184,1,-0.369,0.737,-1.976,1.339,0.767,0.137,0.619,-0.482
185,1,0.827,-1.355,-1.769,-0.474,2.008,-0.205,0.619,-0.482
188,1,-1.565,0.737,1.053,-0.474,-0.473,-0.114,0.619,-0.482
189,0,0.827,0.737,0.709,0.433,0.767,-0.336,-1.614,-0.482
190,0,0.827,0.737,0.434,-0.474,-0.473,-0.489,0.619,-0.482
191,1,-0.369,-1.355,0.158,-0.474,-0.473,-0.386,0.619,-0.482
192,0,-0.369,0.737,-0.737,-0.474,-0.473,-0.386,0.619,-0.482
193,1,0.827,-1.355,-0.737,0.433,-0.473,-0.49,0.619,-0.482
194,1,-0.369,0.737,-1.838,0.433,0.767,-0.125,0.619,-0.482
195,1,-1.565,-1.355,0.984,-0.474,-0.473,-0.09,-1.614,2.073
196,1,-1.565,-1.355,1.948,-0.474,-0.473,2.3,-1.614,2.073
198,0,0.827,0.737,0.847,-0.474,0.767,-0.479,0.619,-0.482
200,0,-0.369,-1.355,-0.392,-0.474,-0.473,-0.386,0.619,-0.482
201,0,0.827,0.737,-0.117,-0.474,-0.473,-0.457,0.619,-0.482
203,0,0.827,0.737,0.296,-0.474,-0.473,-0.517,0.619,-0.482
204,0,0.827,0.737,1.088,-0.474,-0.473,-0.503,-1.614,2.073
205,1,0.827,0.737,-0.805,-0.474,-0.473,-0.486,0.619,-0.482
206,0,0.827,-1.355,-1.907,-0.474,0.767,-0.438,0.619,-0.482
207,0,0.827,0.737,0.158,0.433,-0.473,-0.329,0.619,-0.482
208,1,0.827,0.737,-0.255,-0.474,-0.473,-0.27,-1.614,2.073
209,1,0.827,-1.355,-0.943,-0.474,-0.473,-0.492,-1.614,-0.482
210,1,-1.565,0.737,0.709,-0.474,-0.473,-0.024,-1.614,2.073
211,0,0.827,0.737,-0.392,-0.474,-0.473,-0.506,0.619,-0.482
212,1,-0.369,-1.355,0.365,-0.474,-0.473,-0.225,0.619,-0.482
213,0,0.827,0.737,-0.53,-0.474,-0.473,-0.502,0.619,-0.482
214,0,-0.369,0.737,0.021,-0.474,-0.473,-0.386,0.619,-0.482
216,1,-1.565,-1.355,0.09,0.433,-0.473,1.631,-1.614,2.073
217,1,0.827,-1.355,-0.186,-0.474,-0.473,-0.489,0.619,-0.482
218,0,-0.369,0.737,0.847,0.433,-0.473,-0.105,0.619,-0.482
219,1,-1.565,-1.355,0.158,-0.474,-0.473,0.887,-1.614,2.073
220,0,-0.369,0.737,0.021,-0.474,-0.473,-0.437,0.619,-0.482
221,1,0.827,0.737,-0.943,-0.474,-0.473,-0.486,0.619,-0.482
222,0,-0.369,0.737,-0.186,-0.474,-0.473,-0.386,0.619,-0.482
223,0,0.827,0.737,1.466,-0.474,-0.473,-0.486,0.619,-0.482
225,1,-1.565,0.737,0.571,0.433,-0.473,1.163,0.619,-0.482
226,0,0.827,0.737,-0.53,-0.474,-0.473,-0.46,0.619,-0.482
227,1,-0.369,0.737,-0.737,-0.474,-0.473,-0.437,0.619,-0.482
228,0,0.827,0.737,-0.633,-0.474,-0.473,-0.502,0.619,-0.482
229,0,-0.369,0.737,-0.805,-0.474,-0.473,-0.386,0.619,-0.482
231,1,-1.565,-1.355,0.365,0.433,-0.473,1.032,0.619,-0.482
232,0,0.827,0.737,-0.048,-0.474,-0.473,-0.492,0.619,-0.482
233,0,-0.369,0.737,2.017,-0.474,-0.473,-0.376,0.619,-0.482
234,1,0.827,-1.355,-1.7,3.153,2.008,-0.016,0.619,-0.482
235,0,-0.369,0.737,-0.392,-0.474,-0.473,-0.437,0.619,-0.482
237,0,-0.369,0.737,0.984,0.433,-0.473,-0.125,0.619,-0.482
238,1,-0.369,-1.355,-1.494,-0.474,2.008,-0.12,0.619,-0.482
239,0,-0.369,0.737,-0.737,-0.474,-0.473,-0.437,0.619,-0.482
240,0,-0.369,0.737,0.227,-0.474,-0.473,-0.401,0.619,-0.482
243,0,-0.369,0.737,-0.048,-0.474,-0.473,-0.437,0.619,-0.482
244,0,0.827,0.737,-0.53,-0.474,-0.473,-0.505,0.619,-0.482
245,0,0.827,0.737,0.021,-0.474,-0.473,-0.503,-1.614,2.073
246,0,-1.565,0.737,0.984,1.339,-0.473,1.163,-1.614,-0.482
247,0,0.827,-1.355,-0.323,-0.474,-0.473,-0.492,0.619,-0.482
248,1,-0.369,-1.355,-0.392,-0.474,2.008,-0.356,0.619,-0.482
249,1,-1.565,0.737,0.503,0.433,0.767,0.41,0.619,-0.482
250,0,-0.369,0.737,1.673,0.433,-0.473,-0.125,0.619,-0.482
252,0,0.827,-1.355,-0.048,0.433,0.767,-0.438,0.619,-0.482
253,0,-1.565,0.737,2.224,-0.474,-0.473,-0.114,0.619,-0.482
254,0,0.827,0.737,0.021,0.433,-0.473,-0.324,0.619,-0.482
255,0,0.827,-1.355,0.778,-0.474,2.008,-0.241,0.619,-0.482
256,1,0.827,-1.355,-0.048,-0.474,2.008,-0.341,-1.614,2.073
258,1,-1.565,-1.355,0.021,-0.474,-0.473,1.093,0.619,-0.482
259,1,-1.565,-1.355,0.365,-0.474,-0.473,9.662,-1.614,2.073
260,1,-0.369,-1.355,1.398,-0.474,0.767,-0.125,0.619,-0.482
262,1,0.827,0.737,-1.838,3.153,2.008,-0.016,0.619,-0.482
263,0,-1.565,0.737,1.535,0.433,0.767,0.955,0.619,-0.482
264,0,-1.565,0.737,0.709,-0.474,-0.473,-0.648,0.619,-0.482
266,0,-0.369,0.737,0.434,-0.474,-0.473,-0.437,0.619,-0.482
267,0,0.827,0.737,-0.943,3.153,0.767,0.151,0.619,-0.482
268,1,0.827,0.737,-0.323,0.433,-0.473,-0.492,0.619,-0.482
269,1,-1.565,-1.355,1.948,-0.474,0.767,2.44,0.619,-0.482
270,1,-1.565,-1.355,0.365,-0.474,-0.473,2.081,0.619,-0.482
272,1,0.827,0.737,-0.323,-0.474,-0.473,-0.648,0.619,-0.482
273,1,-0.369,-1.355,0.778,-0.474,0.767,-0.256,0.619,-0.482
274,0,-1.565,0.737,0.503,-0.474,0.767,-0.05,-1.614,2.073
276,1,-1.565,-1.355,2.292,0.433,-0.473,0.921,0.619,-0.482
277,0,0.827,-1.355,1.053,-0.474,-0.473,-0.492,0.619,-0.482
279,0,0.827,0.737,-1.563,3.153,0.767,-0.062,-1.614,-0.482
280,1,0.827,-1.355,0.365,0.433,0.767,-0.241,0.619,-0.482
281,0,0.827,0.737,2.43,-0.474,-0.473,-0.492,-1.614,-0.482
282,0,0.827,0.737,-0.117,-0.474,-0.473,-0.49,0.619,-0.482
283,0,0.827,0.737,-0.943,-0.474,-0.473,-0.457,0.619,-0.482
284,1,0.827,0.737,-0.737,-0.474,-0.473,-0.486,0.619,-0.482
286,0,0.827,0.737,0.227,-0.474,-0.473,-0.474,-1.614,2.073
287,1,0.827,0.737,0.021,-0.474,-0.473,-0.457,0.619,-0.482
288,0,0.827,0.737,-0.53,-0.474,-0.473,-0.489,0.619,-0.482
289,1,-0.369,0.737,0.847,-0.474,-0.473,-0.386,0.619,-0.482
290,1,0.827,-1.355,-0.53,-0.474,-0.473,-0.492,-1.614,-0.482
291,1,-1.565,-1.355,-0.255,-0.474,-0.473,0.939,0.619,-0.482
292,1,-1.565,-1.355,-0.737,0.433,-0.473,1.185,-1.614,2.073
293,0,-0.369,0.737,0.434,-0.474,-0.473,-0.389,-1.614,2.073
294,0,0.827,-1.355,-0.392,-0.474,-0.473,-0.47,0.619,-0.482
295,0,0.827,0.737,-0.392,-0.474,-0.473,-0.489,0.619,-0.482
297,0,0.827,0.737,-0.427,-0.474,-0.473,-0.503,-1.614,2.073
298,0,-1.565,-1.355,-1.907,0.433,2.008,2.402,0.619,-0.482
300,1,-1.565,-1.355,1.398,-0.474,0.767,4.333,-1.614,2.073
303,0,0.827,0.737,-0.737,-0.474,-0.473,-0.648,0.619,-0.482
306,1,-1.565,0.737,-1.981,0.433,2.008,2.402,0.619,-0.482
308,1,-1.565,-1.355,-0.874,0.433,-0.473,1.543,-1.614,2.073
309,0,-0.369,0.737,0.021,0.433,-0.473,-0.165,-1.614,2.073
310,1,-1.565,-1.355,0.021,-0.474,-0.473,0.498,-1.614,2.073
311,1,-1.565,-1.355,-0.392,-0.474,-0.473,1.025,-1.614,2.073
312,1,-1.565,-1.355,-0.805,1.339,2.008,4.632,-1.614,2.073
313,0,-0.369,-1.355,-0.255,0.433,0.767,-0.125,0.619,-0.482
314,0,0.827,0.737,-0.117,-0.474,-0.473,-0.489,0.619,-0.482
315,0,-0.369,0.737,0.916,0.433,0.767,-0.12,0.619,-0.482
316,1,0.827,-1.355,-0.255,-0.474,-0.473,-0.49,0.619,-0.482
317,1,-0.369,-1.355,-0.392,0.433,-0.473,-0.125,0.619,-0.482
318,0,-0.369,0.737,1.673,-0.474,-0.473,-0.366,0.619,-0.482
319,1,-1.565,-1.355,0.09,-0.474,2.008,2.67,0.619,-0.482
320,1,-1.565,-1.355,0.709,0.433,0.767,2.059,-1.614,2.073
321,0,0.827,0.737,-0.53,-0.474,-0.473,-0.502,0.619,-0.482
322,0,0.827,0.737,-0.186,-0.474,-0.473,-0.489,0.619,-0.482
323,1,-0.369,-1.355,0.021,-0.474,-0.473,-0.4,-1.614,-0.482
324,1,-0.369,-1.355,-0.53,0.433,0.767,-0.064,0.619,-0.482
326,1,-1.565,-1.355,0.434,-0.474,-0.473,2.081,-1.614,2.073
327,0,0.827,0.737,2.155,-0.474,-0.473,-0.523,0.619,-0.482
328,1,-0.369,-1.355,0.434,-0.474,-0.473,-0.386,0.619,-0.482
329,1,0.827,-1.355,0.09,0.433,0.767,-0.235,0.619,-0.482
330,1,-1.565,-1.355,-0.943,-0.474,0.767,0.519,-1.614,2.073
332,0,-1.565,0.737,1.088,-0.474,-0.473,-0.075,0.619,-0.482
333,0,-1.565,0.737,0.571,-0.474,0.767,2.44,0.619,-0.482
334,0,0.827,0.737,-0.943,1.339,-0.473,-0.286,0.619,-0.482
337,0,-1.565,0.737,-0.048,0.433,-0.473,0.692,0.619,-0.482
338,1,-1.565,-1.355,0.778,-0.474,-0.473,2.059,-1.614,2.073
339,1,0.827,0.737,1.053,-0.474,-0.473,-0.486,0.619,-0.482
340,0,-1.565,0.737,1.053,-0.474,-0.473,0.066,0.619,-0.482
341,1,-0.369,0.737,-1.907,0.433,0.767,-0.125,0.619,-0.482
342,1,-1.565,-1.355,-0.392,2.246,2.008,4.644,0.619,-0.482
343,0,-0.369,0.737,-0.117,-0.474,-0.473,-0.386,0.619,-0.482
344,0,-0.369,0.737,-0.323,-0.474,-0.473,-0.386,0.619,-0.482
345,0,-0.369,0.737,0.434,-0.474,-0.473,-0.386,0.619,-0.482
346,1,-0.369,-1.355,-0.392,-0.474,-0.473,-0.386,0.619,-0.482
347,1,-0.369,-1.355,0.709,-0.474,-0.473,-0.386,0.619,-0.482
349,1,0.827,0.737,-1.838,0.433,0.767,-0.328,0.619,-0.482
350,0,0.827,0.737,0.847,-0.474,-0.473,-0.474,0.619,-0.482
351,0,0.827,0.737,-0.461,-0.474,-0.473,-0.462,0.619,-0.482
353,0,0.827,0.737,-1.012,0.433,0.767,-0.503,-1.614,2.073
354,0,0.827,0.737,-0.323,0.433,-0.473,-0.29,0.619,-0.482
356,0,0.827,0.737,-0.117,-0.474,-0.473,-0.457,0.619,-0.482
357,1,-1.565,-1.355,-0.53,-0.474,0.767,0.459,0.619,-0.482
358,0,-0.369,-1.355,0.571,-0.474,-0.473,-0.386,0.619,-0.482
361,0,0.827,0.737,0.709,0.433,4.489,-0.087,0.619,-0.482
362,0,-0.369,0.737,-0.048,0.433,-0.473,-0.09,-1.614,2.073
363,0,0.827,-1.355,1.053,-0.474,0.767,-0.357,-1.614,2.073
364,0,0.827,0.737,0.365,-0.474,-0.473,-0.506,0.619,-0.482
366,0,0.827,0.737,0.021,-0.474,-0.473,-0.502,0.619,-0.482
367,1,-1.565,-1.355,2.086,0.433,-0.473,0.866,-1.614,2.073
370,1,-1.565,-1.355,-0.392,-0.474,-0.473,0.746,-1.614,2.073
371,1,-1.565,0.737,-0.323,0.433,-0.473,0.468,-1.614,2.073
372,0,0.827,0.737,-0.805,0.433,-0.473,-0.517,0.619,-0.482
373,0,0.827,0.737,-0.737,-0.474,-0.473,-0.486,0.619,-0.482
374,0,-1.565,0.737,-0.53,-0.474,-0.473,2.081,-1.614,2.073
375,0,0.827,-1.355,-1.838,2.246,0.767,-0.224,0.619,-0.482
377,1,0.827,-1.355,-0.53,-0.474,-0.473,-0.502,0.619,-0.482
378,0,-1.565,0.737,-0.186,-0.474,2.008,3.608,-1.614,2.073
379,0,0.827,0.737,-0.668,-0.474,-0.473,-0.567,-1.614,2.073
380,0,0.827,0.737,-0.737,-0.474,-0.473,-0.492,0.619,-0.482
381,1,-1.565,-1.355,0.847,-0.474,-0.473,3.931,-1.614,2.073
382,1,0.827,-1.355,-1.976,-0.474,2.008,-0.331,-1.614,2.073
383,0,0.827,0.737,0.158,-0.474,-0.473,-0.489,0.619,-0.482
384,1,-1.565,-1.355,0.365,0.433,-0.473,0.398,0.619,-0.482
386,0,-0.369,0.737,-0.805,-0.474,-0.473,0.831,0.619,-0.482
387,0,0.827,0.737,-1.976,4.06,2.008,0.296,0.619,-0.482
388,1,-0.369,-1.355,0.434,-0.474,-0.473,-0.386,0.619,-0.482
390,1,-0.369,-1.355,-0.874,-0.474,-0.473,-0.407,-1.614,2.073
391,1,-1.565,0.737,0.434,0.433,2.008,1.767,0.619,-0.482
392,1,0.827,0.737,-0.599,-0.474,-0.473,-0.491,0.619,-0.482
393,0,0.827,0.737,-0.117,1.339,-0.473,-0.489,0.619,-0.482
394,1,-1.565,-1.355,-0.461,0.433,-0.473,1.631,-1.614,2.073
395,1,0.827,-1.355,-0.392,-0.474,2.008,-0.312,0.619,-0.482
396,0,0.827,0.737,-0.53,-0.474,-0.473,-0.491,0.619,-0.482
397,0,0.827,-1.355,0.09,-0.474,-0.473,-0.49,0.619,-0.482
398,0,-0.369,0.737,1.122,-0.474,-0.473,-0.125,0.619,-0.482
399,0,-0.369,0.737,-0.461,-0.474,-0.473,-0.437,0.619,-0.482
400,1,-0.369,-1.355,-0.117,-0.474,-0.473,-0.393,0.619,-0.482
401,1,0.827,0.737,0.64,-0.474,-0.473,-0.489,0.619,-0.482
402,0,0.827,0.737,-0.255,-0.474,-0.473,-0.486,0.619,-0.482
403,0,0.827,-1.355,-0.599,0.433,-0.473,-0.45,0.619,-0.482
404,0,0.827,0.737,-0.117,0.433,-0.473,-0.329,0.619,-0.482
405,0,0.827,-1.355,-0.668,-0.474,-0.473,-0.474,0.619,-0.482
406,0,-0.369,0.737,0.296,0.433,-0.473,-0.225,0.619,-0.482
407,0,0.827,0.737,1.466,-0.474,-0.473,-0.492,0.619,-0.482
408,1,-0.369,0.737,-1.838,0.433,0.767,-0.271,0.619,-0.482
409,0,0.827,0.737,-0.599,-0.474,-0.473,-0.492,0.619,-0.482
413,1,-1.565,-1.355,0.227,0.433,-0.473,1.163,-1.614,-0.482
415,1,0.827,0.737,0.984,-0.474,-0.473,-0.489,0.619,-0.482
417,1,-0.369,-1.355,0.296,0.433,0.767,0.006,0.619,-0.482
418,1,-0.369,-1.355,-0.805,-0.474,2.008,-0.386,0.619,-0.482
419,0,-0.369,0.737,0.021,-0.474,-0.473,-0.386,0.619,-0.482
420,0,0.827,-1.355,-1.356,-0.474,2.008,-0.162,0.619,-0.482
422,0,0.827,0.737,-0.599,-0.474,-0.473,-0.492,-1.614,-0.482
423,0,0.827,0.737,-0.048,-0.474,-0.473,-0.49,0.619,-0.482
424,0,0.827,-1.355,-0.117,0.433,0.767,-0.358,0.619,-0.482
425,0,0.827,0.737,-0.805,0.433,0.767,-0.241,0.619,-0.482
427,1,-0.369,-1.355,-0.117,0.433,-0.473,-0.125,0.619,-0.482
